в,PREP
пору,NOUN
когда,CONJ
в,PREP
вырей,NOUN
времирей,NOUN
умчались,VERB
стаи,NOUN
я,PRON
времушком,NOUN
камушком,NOUN
игрывало,VERB
и,CONJ
времушек,NOUN
камушек,NOUN
кинуло,VERB
и,CONJ
времушко,NOUN
камушко,NOUN
кануло,VERB
и,CONJ
времыня,NOUN
крылья,NOUN
простерла,VERB
в,PREP
руках,NOUN
забытое,ADJ
письмо,NOUN
коснело,VERB
небо,NOUN
закатное,ADJ
краснело,VERB
о,PREP
открыватель,NOUN
истин,NOUN
томный,ADJ
круг,NOUN
прамин,NOUN
бога,NOUN
вспомни,VERB
мощь,NOUN
нежная,ADJ
дитяти,NOUN
сильно,ADV
кольцо,NOUN
потяти,NOUN
но,CONJ
что,CONJ
ж,ADV
бог,NOUN
длинноты,NOUN
в,PREP
кольце,NOUN
нашел,VERB
уют,NOUN
и,CONJ
птицы,NOUN
вечности,NOUN
в,PREP
кольце,NOUN
поют,VERB
так,ADV
и,CONJ
в,PREP
душе,NOUN
сумей,VERB
найти,VERB
кольцо,NOUN
и,CONJ
бога,NOUN
нового,ADJ
к,PREP
вселенной,NOUN
обратишь,VERB
лицо,NOUN
и,CONJ
путнику,NOUN
тебе,PRON
придвинут,VERB
боги,NOUN
чашу,NOUN
с,PREP
возгласом,NOUN
сам,ADV
пей,VERB
волну,NOUN
истоков,NOUN
эксампей,NOUN
я,PRON
тать,NOUN
небесных,ADJ
прав,NOUN
для,PREP
человека,NOUN
запрятал,VERB
мысль,NOUN
под,PREP
слов,NOUN
туманных,ADJ
веко,NOUN
но,CONJ
может,ADV
быть,VERB
не,ADV
умертвил,VERB
взор,NOUN
подарит,VERB
свой,PRON
вий,NOUN
тому,PRON
кто,PRON
на,PREP
языке,NOUN
понятном,ADJ
молвит,VERB
главу,NOUN
дерзавицу,NOUN
овей,VERB
тело,NOUN
кружева,NOUN
изнанка,NOUN
одинока,ADJ
и,CONJ
легка,ADJ
ты,PRON
срываешь,VERB
спозаранку,ADV
колыбели,NOUN
мотылька,NOUN
вся,PRON
жизни,NOUN
радуги,NOUN
присуща,ADJ
малиновому,ADJ
рту,NOUN
кругом,ADV
осокоревые,ADJ
кущи,NOUN
и,CONJ
всё,PRON
поет,VERB
цвету,VERB
север,NOUN
запад,NOUN
все,PRON
сторонки,NOUN
замкнуты,VERB
суровым,ADJ
садом,NOUN
нехотя,ADV
но,CONJ
вперегонки,ADV
я,PRON
бегу,VERB
с,PREP
тобою,PRON
рядом,ADV
черноокой,ADJ
горожанки,NOUN
косит,VERB
око,NOUN
боязливо,ADV
и,CONJ
вдруг,ADV
медлительной,ADJ
южанки,NOUN
руку,NOUN
протянет,VERB
за,PREP
сливой,NOUN
ах,ADV
юнак,NOUN
молодой,ADJ
дай,VERB
венок,NOUN
тебе,PRON
надену,VERB
ты,PRON
забудешь,VERB
про,PREP
бой,NOUN
и,CONJ
забудешь,VERB
измену,NOUN
сядешь,VERB
ты,PRON
у,PREP
ног,NOUN
покорно,ADV
будешь,VERB
в,PREP
очи,NOUN
мне,PRON
глядеть,VERB
и,CONJ
моя,PRON
тебя,PRON
задорно,ADV
будет,VERB
бить,VERB
березой,NOUN
ветвь,NOUN
дева,NOUN
бойся,VERB
указаний,NOUN
кремля,NOUN
белого,ADJ
казани,NOUN
стены,NOUN
битвою,NOUN
пробиты,VERB
ведь,ADV
негодны,ADJ
для,PREP
защиты,NOUN
хоть,CONJ
и,CONJ
низок,ADJ
севастополь,NOUN
целый,ADJ
год,NOUN
крепился,VERB
он,PRON
я,PRON
стройна,ADJ
как,ADV
гордый,ADJ
тополь,NOUN
неприступна,ADJ
с,PREP
всех,PRON
сторон,NOUN
прямодушнее,ADV
туркмена,NOUN
нет,VERB
на,PREP
свете,NOUN
никого,PRON
дева,NOUN
милая,ADJ
измена,NOUN
право,ADV
право,ADV
не,ADV
того,PRON
с,PREP
звонким,ADJ
смехом,NOUN
рассыпаясь,VERB
я,PRON
смирюсь,VERB
щадя,VERB
беднягу,NOUN
и,CONJ
бледнея,VERB
и,CONJ
шатаясь,VERB
я,PRON
с,CONJ
тобою,PRON
быстро,ADV
лягу,VERB
